field_name,page_number,x,y,field_type,font_size,font_name
year_1,0,880,325,text,9,Helvetica
year_2,0,940,325,text,9,Helvetica
year_3,0,1000,325,text,9,Helvetica
year_4,0,1060,325,text,9,Helvetica
A1_1,0,480,425,text,9,Helvetica
A1_2,0,480,470,text,9,Helvetica
A2_address_1,0,480,505,text,9,Helvetica
A2_address_2,0,480,545,text,9,Helvetica
A2_postcode,0,675,580,text,9,Helvetica
A2_city,0,1010,580,text,9,Helvetica
A2_state,0,675,620,text,9,Helvetica
A3,0,480,675,text,9,Helvetica
A4,0,1265,675,text,9,Helvetica
A5,0,480,740,text,9,Helvetica
A6,0,1265,740,text,9,Helvetica
A7_day,0,1260,800,text,9,Helvetica
A7_month,0,1360,800,text,9,Helvetica
A7_year,0,1460,800,text,9,Helvetica
A8,0,810,865,text,9,Helvetica
A9,0,810,910,text,9,Helvetica
